Player,Role,Nation,Team,Auction Price (in INR),Status
MS Dhoni,WK-Batsman,India,CSK,12 Cr,Retained
Ruturaj Gaikwad,Batsman,India,CSK,6 Cr,Retained
Devon Conway,Batsman,New Zealand,CSK,1 crores,Retained
Deepak Chahar,Bowler,India,CSK,14 crores,Retained
Tushar Deshpande,Bowler,India,CSK,20 Lakhs,Retained
Maheesh Theekshana,Bowler,Sri Lanka,CSK,70 Lakhs,Retained
Simranjeet Singh,Bowler,India,CSK,20 Lakhs,
Matheesha Pathirana,Bowler,Sri Lanka,CSK,20 Lakhs,Retained
Prashant Solanki,Bowler,India,CSK,1.20 crores,Retained
Mitchell Santner,Bowler,New Zealand,CSK,1.90 crores,Retained
Rajvardhan Hangargekar,Bowler,India,CSK,1.50 crores,Retained
Ravindra Jadeja,All-rounder,India,CSK,16 Cr,Retained
Moeen Ali,All-rounder,England,CSK,8 Cr,Retained
Shivam Dube,All-rounder,India,CSK,4 crores,Retained
Ajinkya Rahane,Batsman,India,CSK,50 Lakhs,Retained
Nishant Sindhu,All-rounder,India,CSK,20 Lakhs,Retained
Shaik Rasheed,Batsman,India,CSK,20 Lakhs,Retained
Ajay Mandal,Bowler,India,CSK,20 Lakhs,Retained
Mukesh Choudhary,Bowler,India,CSK,20 Lakhs,Retained
Rachin Ravindra,All-rounder,New Zealand,CSK,1.80 Crores,
Shardul Thakur,All-rounder,India,CSK,4 Crores,Released
Daryl Mitchell,All-rounder,New Zealand,CSK,14 Crore,
Sameer Rizvi,Batsman,India,CSK,8.40 Crore,
Mustafizur Rahman,Bowler,Bangladesh,CSK,2 Crore,Released
Avanish Rao Aravelly,WK-Batsman,India,CSK,20 Lakhs,
Rishabh Pant,WT-Batsman,India,DC,TBA,Retained
Abhishek Porel,WT-Batsman,India,DC,20 Lakhs,Retained
Prithvi Shaw,Batsman,India,DC,7.50Cr,Retained
David Warner,Batsman,Australia,DC,6.25 Crores,Retained
Yash Dhull,Batsman,India,DC,50 Lakhs,Retained
Anrich Nortje,Bowler,South Africa,DC,6.50 Cr,Retained
Lungi Ngidi,Bowler,South Africa,DC,50 Lakhs,
Khaleel Ahmed,Bowler,India,DC,5.25 crores,
Praveen Dubey,Bowler,India,DC,50 Lakhs,
Kuldeep Yadav,Bowler,India,DC,2 crores,Retained
Axar Patel,All-rounder,India,DC,9 crores,Retained
Mitchell Marsh,All-rounder,Australia,DC,6.50 Crores,Retained
Lalit Yadav,All-rounder,India,DC,65 Lakhs,Retained
Vicky Ostwal,All-rounder,India,DC,20 Lakh,Retained
Ishant Sharma,Bowler,India,DC,50 lakh,Retained
Mukesh Kumar,Bowler,India,DC,5.5 crores,Retained
Harry Brook,Batsman,England,DC,4 Crores,Released
Tristan Stubbs,WT-Batsman,South Africa,DC,50 Lakh,Released
Ricky Bhui,WT-Batsman,India,DC,20 Lakh,
Kumar Kushagra,WT-Batsman,India,DC,7.20 Crore,
Rasikh Dar,Bowler,India,DC,20 Lakh,
Jhye Richardson,Bowler,Australia,DC,5 Crore,Released
Sumit Kumar,All-rounder,India,DC,1 Crore,
Shai Hope,WT-Batsman,West Indies,DC,75 Lakh,
Swastik Chikara,Batsman,India,DC,20 Lakh,
Shubman Gill,Batsman,India,GT,8 Crores,Retained
Sai Sudarshan,Batsman,India,GT,20 Lakhs,
Abhinav Manohar,Batsman,India,GT,2.60 Crores,
David Miller,Batsman,South Africa,GT,3 crores,Retained
Kane Williamson,Batsman,New Zealand,GT,2 crores,Retained
Matthew Wade,WK-Batsman,Australia,GT,2.40 Crores,Retained
Wriddhiman Saha,WK-Batsman,India,GT,1.90 Crores,Retained
