Player,Team
Rille Roussow,Delhi Capitals
Chetan Sakariya,Delhi Capitals
Rovman Powell,Delhi Capitals
Manish Pandey,Delhi Capitals
Phil Salt,Delhi Capitals
M Rahman,Delhi Capitals
Kamlesh Nagarkoti,Delhi Capitals
Ripal Patel,Delhi Capitals
Sarfaraz Khan,Delhi Capitals
Priyan Garg,Delhi Capitals
Aman Khan,Delhi Capitals
Mohd Arshad Khan,Mumbai Indians
Ramandeep Singh,Mumbai Indians
Hrithik Shokeen,Mumbai Indians
Raghav Goyal,Mumbai Indians
Jofra Archer,Mumbai Indians
Tristan Stubbs,Mumbai Indians
Duan Jansen,Mumbai Indians
Jhye Richardson,Mumbai Indians
Riley Meredith,Mumbai Indians
Chris Jordan,Mumbai Indians
Sandeep Warrier,Mumbai Indians
Cameron Green,Mumbai Indians
Ambati Rayudu,Chennai Super Kings
Ben Stokes,Chennai Super Kings
Dwaine Pretorius,Chennai Super Kings
Sisanda Magala,Chennai Super Kings
Kyle Jamieson,Chennai Super Kings
Bhagath Varma,Chennai Super Kings
Subhranshu Senapati,Chennai Super Kings
Akash Singh,Chennai Super Kings
Shahbaz Ahmed,Royal Challengers Bangalore
Wanindu Hasaranga,Royal Challengers Bangalore
Harshal Patel,Royal Challengers Bangalore
Josh Hazlewood,Royal Challengers Bangalore
Finn Allen,Royal Challengers Bangalore
Michael Bracewell,Royal Challengers Bangalore
David Willey,Royal Challengers Bangalore
Wayne Parnell,Royal Challengers Bangalore
Sonu Yadav,Royal Challengers Bangalore
Avinash Singh,Royal Challengers Bangalore
Siddharth Kaul,Royal Challengers Bangalore
Kedar Jadhav,Royal Challengers Bangalore
Hardik Pandya,Gujarat Titans
Yash Dayal,Gujarat Titans
KS Bharat,Gujarat Titans
Shivam Mavi,Gujarat Titans
Urvil Patel,Gujarat Titans
Pradeep Sangwan,Gujarat Titans
Odean Smith,Gujarat Titans
Alzarri Joseph,Gujarat Titans
Dasun Shanaka,Gujarat Titans
Shakib Al Hasan,Kolkata Knight Riders
Litton Das,Kolkata Knight Riders
Aarya Desai,Kolkata Knight Riders
David Wiese,Kolkata Knight Riders
Narayan Jagadeesan,Kolkata Knight Riders
Mandeep Singh,Kolkata Knight Riders
Kulwant Khejroliya,Kolkata Knight Riders
Shardul Thakur,Kolkata Knight Riders
Lockie Ferguson,Kolkata Knight Riders
Umesh Yadav,Kolkata Knight Riders
Tim Southee,Kolkata Knight Riders
Johnson Charles,Kolkata Knight Riders
Bhanuka Rajapaksa,Punjab Kings
Mohit Rathee,Punjab Kings
Baltej Dhanda,Punjab Kings
Raj Angad Bawa,Punjab Kings
Shahrukh Khan,Punjab Kings
Devdutt Padikkal,Rajasthan Royals
Joe Root,Rajasthan Royals
Abdul Basith,Rajasthan Royals
Jason Holder,Rajasthan Royals
Akash Vashisht,Rajasthan Royals
Kuldip Yadav,Rajasthan Royals
Obed McCoy,Rajasthan Royals
Murugan Ashwin,Rajasthan Royals
KC Cariappa,Rajasthan Royals
KM Asif,Rajasthan Royals
Mayank Dagar,Sunrisers Hyderabad
Harry Brook,Sunrisers Hyderabad
Samarth Vyas,Sunrisers Hyderabad
Kartik Tyagi,Sunrisers Hyderabad
Vivrant Sharma,Sunrisers Hyderabad
Akeal Hosein,Sunrisers Hyderabad
Adil Rashid,Sunrisers Hyderabad
Romario Shepherd,Lucknow Super Giants
Avesh Khan,Lucknow Super Giants
Jaydev Unadkat,Lucknow Super Giants
Daniel Sams,Lucknow Super Giants
Mannan Vohra,Lucknow Super Giants
Swapnil Singh,Lucknow Super Giants
Karan Sharma,Lucknow Super Giants
Arpit Guleria,Lucknow Super Giants
Suryansh Shedge,Lucknow Super Giants
Karun Nair,Lucknow Super Giants
