Player,Role,Auction Price,Nation,Team
MS Dhoni (wk)(c),WK-Batsman,INR 12 Cr(R),India,Chennai Super Kings
Ruturaj Gaikwad,Batsman,INR 6 Cr(R),India,Chennai Super Kings
Devon Conway,Batsman,INR 1 crores(R),New Zealand,Chennai Super Kings
Deepak Chahar,Bowler,INR 14 crores(R),India,Chennai Super Kings
Tushar Deshpande,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings
Maheesh Theekshana,Bowler,INR 70 Lakhs(R),Sri Lanka,Chennai Super Kings
Simranjeet Singh,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings
Matheesha Pathirana,Bowler,INR 20 Lakhs(R),Sri Lanka,Chennai Super Kings
Prashant Solanki,Bowler,INR 1.20 crores(R),India,Chennai Super Kings
Mitchell Santner,Bowler,INR 1.90 crores(R),New Zealand,Chennai Super Kings
Rajvardhan Hangargekar,Bowler,INR 1.50 crores(R),India,Chennai Super Kings
Ravindra Jadeja,All-rounder,INR 16 Cr(R),India,Chennai Super Kings
Moeen Ali,All-rounder,INR 8 Cr(R),England,Chennai Super Kings
Shivam Dube,All-rounder,INR 4 crores(R),India,Chennai Super Kings
Ajinkya Rahane,Batsman,INR 50 Lakhs(R),India,Chennai Super Kings
Nishant Sindhu,All-rounder,INR 20 Lakhs(R),India,Chennai Super Kings
Shaik Rasheed,Batsman,INR 20 Lakhs(R),India,Chennai Super Kings
Ajay Mandal,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings
Mukesh Choudhary,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings
Rachin Ravindra,All-rounder,INR 1.80 Crores,New Zealand,Chennai Super Kings
Shardul Thakur,All-rounder,INR 4 Crores,India,Chennai Super Kings
Daryl Mitchell,All-rounder,INR 14 Crore,New Zealand,Chennai Super Kings
Sameer Rizvi,Batsman,INR 8.40 Crore,India,Chennai Super Kings
Mustafizur Rahman,Bowler,INR 2 Crore,Bangladesh,Chennai Super Kings
Avanish Rao Aravelly,WK-Batsman,INR 20 Lakhs,India,Chennai Super Kings
Rishabh Pant,WT-Batsman,TBA,India,Delhi Capitals
Abhishek Porel,WT-Batsman,INR 20 Lakhs(R),India,Delhi Capitals
Prithvi Shaw,Batsman,INR 7.50Cr(R),India,Delhi Capitals
David Warner,Batsman,INR 6.25 Crores(R),Australia,Delhi Capitals
Yash Dhull,Batsman,INR 50 Lakhs(R),India,Delhi Capitals
Anrich Nortje,Bowler,INR 6.50 Cr(R),South Africa,Delhi Capitals
Lungi Ngidi,Bowler,INR 50 Lakhs(R),South Africa,Delhi Capitals
Khaleel Ahmed,Bowler,INR 5.25 crores(R),India,Delhi Capitals
Praveen Dubey,Bowler,INR 50 Lakhs(R),India,Delhi Capitals
Kuldeep Yadav,Bowler,INR 2 crores(R),India,Delhi Capitals
Axar Patel,All-rounder,INR 9 crores(R),India,Delhi Capitals
Mitchell Marsh,All-rounder,INR 6.50 Crores(R),Australia,Delhi Capitals
Lalit Yadav,All-rounder,INR 65 Lakhs(R),India,Delhi Capitals
Vicky Ostwal,All-rounder,INR 20 Lakh(R),India,Delhi Capitals
Ishant Sharma,Bowler,INR 50 lakh(R),India,Delhi Capitals
Mukesh Kumar,Bowler,INR 5.5 crores(R),India,Delhi Capitals
Harry Brook,Batsman,INR 4 Crores,England,Delhi Capitals
Tristan Stubbs,WT-Batsman,INR 50 Lakh,South Africa,Delhi Capitals
Ricky Bhui,WT-Batsman,INR 20 Lakh,India,Delhi Capitals
Kumar Kushagra,WT-Batsman,INR 7.20 Crore,India,Delhi Capitals
Rasikh Dar,Bowler,INR 20 Lakh,India,Delhi Capitals
Jhye Richardson,Bowler,INR 5 Crore,Australia,Delhi Capitals
Sumit Kumar,All-rounder,INR 1 Crore,India,Delhi Capitals
Shai Hope,WT-Batsman,INR 75 Lakh,West Indies,Delhi Capitals
Swastik Chikara,Batsman,INR 20 Lakh,India,Delhi Capitals
Shubman Gill(C),Batsman,INR 8 Crores(R),India,Gujarat Titans
Sai Sudarshan,Batsman,INR 20 Lakhs(R),India,Gujarat Titans
Abhinav Manohar,Batsman,INR 2.60 Crores(R),India,Gujarat Titans
David Miller,Batsman,INR 3 crores(R),South Africa,Gujarat Titans
Kane Williamson,Batsman,INR 2 crores(R),New Zealand,Gujarat Titans
Matthew Wade (wk),WK-Batsman,INR 2.40 Crores(R),Australia,Gujarat Titans
