Player Name,Base Price,Type,Cost in Rs. (CR),2022 Squad,2023 Squad
Shivam Mavi,4000000,BOWLER,6.0,KKR,GT
Joshua Little,5000000,BOWLER,4.4,,GT
Kane Williamson,20000000,BATSMAN,2.0,SRH,GT
K.S. Bharat,2000000,WICKETKEEPER,1.2,DC,GT
Mohit Sharma,5000000,BOWLER,0.5,,GT
Odean Smith,5000000,ALL-ROUNDER,0.5,PBKS,GT
Urvil Patel,2000000,WICKETKEEPER,0.2,,GT
Rahul Tewatia,Retained,ALL-ROUNDER,0.0,GT,GT
Pradeep Sangwan,Retained,ALL-ROUNDER,0.0,GT,GT
Rashid Khan,Retained,BOWLER,0.0,GT,GT
R. Sai Kishore,Retained,BOWLER,0.0,GT,GT
Yash Dayal,Retained,BOWLER,0.0,GT,GT
Noor Ahmad,Retained,BOWLER,0.0,GT,GT
Wriddhiman Saha,Retained,WICKETKEEPER,0.0,GT,GT
Vijay Shankar,Retained,ALL-ROUNDER,0.0,GT,GT
Shubman Gill,Retained,BATSMAN,0.0,GT,GT
Hardik Pandya,Retained,ALL-ROUNDER,0.0,GT,GT
B. Sai Sudharsan,Retained,ALL-ROUNDER,0.0,GT,GT
Alzarri Joseph,Retained,BOWLER,0.0,GT,GT
Abhinav Sadarangani,Retained,BATSMAN,0.0,GT,GT
Darshan Nalkande,Retained,ALL-ROUNDER,0.0,GT,GT
David Miller,Retained,BATSMAN,0.0,GT,GT
Matthew Wade,Retained,WICKETKEEPER,0.0,GT,GT
Jayant Yadav,Retained,ALL-ROUNDER,0.0,GT,GT
Mohammad Shami,Retained,BOWLER,0.0,GT,GT
Ben Stokes,20000000,ALL-ROUNDER,16.25,,CSK
Kyle Jamieson,10000000,BOWLER,1.0,,CSK
Nishant Sindhu,2000000,ALL-ROUNDER,0.6,,CSK
Ajinkya Rahane,5000000,BATSMAN,0.5,KKR,CSK
Bhagath Varma,2000000,ALL-ROUNDER,0.2,CSK,CSK
Ajay Mandal,2000000,ALL-ROUNDER,0.2,,CSK
Shaik Rasheed,2000000,BATSMAN,0.2,,CSK
Ravindra Jadeja,Retained,ALL-ROUNDER,0.0,CSK,CSK
Rajvardhan Hangargekar,Retained,ALL-ROUNDER,0.0,CSK,CSK
Prashant Solanki,Retained,BOWLER,0.0,CSK,CSK
Ruturaj Gaikwad,Retained,BATSMAN,0.0,CSK,CSK
Tushar Deshpande,Retained,BOWLER,0.0,CSK,CSK
Mukesh Choudhary,Retained,BOWLER,0.0,CSK,CSK
Subhranshu Senapati,Retained,BATSMAN,0.0,CSK,CSK
Simarjeet Singh,Retained,BOWLER,0.0,CSK,CSK
Shivam Dube,Retained,ALL-ROUNDER,0.0,CSK,CSK
Matheesha Pathirana,Retained,BOWLER,0.0,CSK,CSK
Devon Conway,Retained,BATSMAN,0.0,CSK,CSK
Deepak Chahar,Retained,BOWLER,0.0,CSK,CSK
Ambati Rayudu,Retained,BATSMAN,0.0,CSK,CSK
Dwaine Pretorius,Retained,ALL-ROUNDER,0.0,CSK,CSK
Maheesh Theekshana,Retained,BOWLER,0.0,CSK,CSK
Moeen Ali,Retained,ALL-ROUNDER,0.0,CSK,CSK
Mitchell Santner,Retained,ALL-ROUNDER,0.0,CSK,CSK
MS Dhoni,Retained,WICKETKEEPER,0.0,CSK,CSK
Mukesh Kumar,2000000,BOWLER,5.5,,DC
Rilee Rossouw,20000000,BATSMAN,4.6,,DC
Manish Pandey,10000000,BATSMAN,2.4,LSG,DC
Phil Salt,20000000,WICKETKEEPER,2.0,,DC
Ishant Sharma,5000000,BOWLER,0.5,,DC
Ripal Patel,Retained,ALL-ROUNDER,0.0,DC,DC
Pravin Dubey,Retained,ALL-ROUNDER,0.0,DC,DC
Rishabh Pant,Retained,WICKETKEEPER,0.0,DC,DC
Prithvi Shaw,Retained,BATSMAN,0.0,DC,DC
Syed Khaleel Ahmed,Retained,BOWLER,0.0,DC,DC
Yash Dhull,Retained,ALL-ROUNDER,0.0,DC,DC
