Player Name,Base Price,Type,Cost in Rs. (CR),2022 Squad,2023 Squad
Tom Banton,20000000,WICKETKEEPER,,,Unsold
Kusal Mendis,5000000,WICKETKEEPER,,,Unsold
Chris Jordan,20000000,BOWLER,,CSK,Unsold
Adam Milne,20000000,BOWLER,,CSK,Unsold
Mujeeb Rahman,10000000,BOWLER,,,Unsold
Tabraiz Shamsi,10000000,BOWLER,,,Unsold
Shubham Khajuria,2000000,BATSMAN,,,Unsold
Rohan Kunnummal,2000000,BATSMAN,,,Unsold
Chethan L.R.,2000000,BATSMAN,,,Unsold
Himmat Singh,2000000,BATSMAN,,,Unsold
Corbin Bosch,2000000,ALL-ROUNDER,,RR,Unsold
Priyam Garg,2000000,ALL-ROUNDER,,SRH,Unsold
Saurabh Kumar,2000000,ALL-ROUNDER,,,Unsold
Shashank Singh,2000000,ALL-ROUNDER,,SRH,Unsold
Mohammed Azharuddeen,2000000,WICKETKEEPER,,,Unsold
Dinesh Bana,2000000,WICKETKEEPER,,,Unsold
Abhimanyu Easwaran,2000000,WICKETKEEPER,,,Unsold
Sumit Kumar,2000000,WICKETKEEPER,,,Unsold
Lance Morris,3000000,BOWLER,,,Unsold
Mujtaba Yousuf,2000000,BOWLER,,,Unsold
Chintal Gandhi,2000000,BOWLER,,,Unsold
Shreyas Gopal,2000000,BOWLER,,SRH,Unsold
S Midhun,2000000,BOWLER,,,Unsold
Izharulhuq Naveed,2000000,BOWLER,,,Unsold
Travis Head,20000000,BATSMAN,,,Unsold
Dawid Malan,1500000,BATSMAN,,,Unsold
Sherfane Rutherford,1500000,BATSMAN,,RCB,Unsold
Paul Stirling,5000000,BATSMAN,,,Unsold
Rassie Van Der Dussen,20000000,BATSMAN,,RR,Unsold
Daryl Mitchell,10000000,ALL-ROUNDER,,RR,Unsold
Mohammad Nabi,10000000,ALL-ROUNDER,,KKR,Unsold
Jimmy Neesham,20000000,ALL-ROUNDER,,RR,Unsold
Wayne Parnell,7500000,ALL-ROUNDER,,,Unsold
Dasun Shanaka,5000000,ALL-ROUNDER,,,Unsold
Taskin Ahmed,5000000,BOWLER,,,Unsold
Dushmanta Chameera,5000000,BOWLER,,LSG,Unsold
Riley Meredith,1500000,BOWLER,,MI,Unsold
Blessing Muzarabani,5000000,BOWLER,,,Unsold
Sandeep Sharma,5000000,BOWLER,,PBKS,Unsold
Johnson Charles,5000000,WICKETKEEPER,,,Unsold
Andre Fletcher,5000000,WICKETKEEPER,,,Unsold
Shai Hope,10000000,WICKETKEEPER,,,Unsold
