Player,Role,Auction Price,Nation,Team,Auction Price (in INR)
MS Dhoni,WK-Batsman,INR 12 Cr(R),India,Chennai Super Kings,120000000.0
Ruturaj Gaikwad,Batsman,INR 6 Cr(R),India,Chennai Super Kings,60000000.0
Devon Conway,Batsman,INR 1 crores(R),New Zealand,Chennai Super Kings,10000000.0
Deepak Chahar,Bowler,INR 14 crores(R),India,Chennai Super Kings,140000000.0
Tushar Deshpande,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings,2000000.0
Maheesh Theekshana,Bowler,INR 70 Lakhs(R),Sri Lanka,Chennai Super Kings,7000000.0
Simranjeet Singh,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings,2000000.0
Matheesha Pathirana,Bowler,INR 20 Lakhs(R),Sri Lanka,Chennai Super Kings,2000000.0
Prashant Solanki,Bowler,INR 1.20 crores(R),India,Chennai Super Kings,12000000.0
Mitchell Santner,Bowler,INR 1.90 crores(R),New Zealand,Chennai Super Kings,19000000.0
Rajvardhan Hangargekar,Bowler,INR 1.50 crores(R),India,Chennai Super Kings,15000000.0
Ravindra Jadeja,All-rounder,INR 16 Cr(R),India,Chennai Super Kings,160000000.0
Moeen Ali,All-rounder,INR 8 Cr(R),England,Chennai Super Kings,80000000.0
Shivam Dube,All-rounder,INR 4 crores(R),India,Chennai Super Kings,40000000.0
Ajinkya Rahane,Batsman,INR 50 Lakhs(R),India,Chennai Super Kings,5000000.0
Nishant Sindhu,All-rounder,INR 20 Lakhs(R),India,Chennai Super Kings,2000000.0
Shaik Rasheed,Batsman,INR 20 Lakhs(R),India,Chennai Super Kings,2000000.0
Ajay Mandal,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings,2000000.0
Mukesh Choudhary,Bowler,INR 20 Lakhs(R),India,Chennai Super Kings,2000000.0
Rachin Ravindra,All-rounder,INR 1.80 Crores,New Zealand,Chennai Super Kings,18000000.0
Shardul Thakur,All-rounder,INR 4 Crores,India,Chennai Super Kings,40000000.0
Daryl Mitchell,All-rounder,INR 14 Crore,New Zealand,Chennai Super Kings,140000000.0
Sameer Rizvi,Batsman,INR 8.40 Crore,India,Chennai Super Kings,84000000.0
Mustafizur Rahman,Bowler,INR 2 Crore,Bangladesh,Chennai Super Kings,20000000.0
Avanish Rao Aravelly,WK-Batsman,INR 20 Lakhs,India,Chennai Super Kings,2000000.0
Rishabh Pant,WT-Batsman,TBA,India,Delhi Capitals,
Abhishek Porel,WT-Batsman,INR 20 Lakhs(R),India,Delhi Capitals,2000000.0
Prithvi Shaw,Batsman,INR 7.50Cr(R),India,Delhi Capitals,75000000.0
David Warner,Batsman,INR 6.25 Crores(R),Australia,Delhi Capitals,62500000.0
Yash Dhull,Batsman,INR 50 Lakhs(R),India,Delhi Capitals,5000000.0
Anrich Nortje,Bowler,INR 6.50 Cr(R),South Africa,Delhi Capitals,65000000.0
Lungi Ngidi,Bowler,INR 50 Lakhs(R),South Africa,Delhi Capitals,5000000.0
Khaleel Ahmed,Bowler,INR 5.25 crores(R),India,Delhi Capitals,52500000.0
Praveen Dubey,Bowler,INR 50 Lakhs(R),India,Delhi Capitals,5000000.0
Kuldeep Yadav,Bowler,INR 2 crores(R),India,Delhi Capitals,20000000.0
Axar Patel,All-rounder,INR 9 crores(R),India,Delhi Capitals,90000000.0
Mitchell Marsh,All-rounder,INR 6.50 Crores(R),Australia,Delhi Capitals,65000000.0
Lalit Yadav,All-rounder,INR 65 Lakhs(R),India,Delhi Capitals,6500000.0
Vicky Ostwal,All-rounder,INR 20 Lakh(R),India,Delhi Capitals,2000000.0
Ishant Sharma,Bowler,INR 50 lakh(R),India,Delhi Capitals,
Mukesh Kumar,Bowler,INR 5.5 crores(R),India,Delhi Capitals,55000000.0
Harry Brook,Batsman,INR 4 Crores,England,Delhi Capitals,40000000.0
Tristan Stubbs,WT-Batsman,INR 50 Lakh,South Africa,Delhi Capitals,5000000.0
Ricky Bhui,WT-Batsman,INR 20 Lakh,India,Delhi Capitals,2000000.0
Kumar Kushagra,WT-Batsman,INR 7.20 Crore,India,Delhi Capitals,72000000.0
Rasikh Dar,Bowler,INR 20 Lakh,India,Delhi Capitals,2000000.0
Jhye Richardson,Bowler,INR 5 Crore,Australia,Delhi Capitals,50000000.0
Sumit Kumar,All-rounder,INR 1 Crore,India,Delhi Capitals,10000000.0
Shai Hope,WT-Batsman,INR 75 Lakh,West Indies,Delhi Capitals,7500000.0
Swastik Chikara,Batsman,INR 20 Lakh,India,Delhi Capitals,2000000.0
Shubman Gill,Batsman,INR 8 Crores(R),India,Gujarat Titans,80000000.0
Sai Sudarshan,Batsman,INR 20 Lakhs(R),India,Gujarat Titans,2000000.0
Abhinav Manohar,Batsman,INR 2.60 Crores(R),India,Gujarat Titans,26000000.0
David Miller,Batsman,INR 3 crores(R),South Africa,Gujarat Titans,30000000.0
Kane Williamson,Batsman,INR 2 crores(R),New Zealand,Gujarat Titans,20000000.0
Matthew Wade,WK-Batsman,INR 2.40 Crores(R),Australia,Gujarat Titans,24000000.0
Wriddhiman Saha,WK-Batsman,INR 1.90 Crores(R),India,Gujarat Titans,19000000.0
Rashid Khan,Bowler,INR 15 Crores(R),Afghanistan,Gujarat Titans,150000000.0
Darshan Nalkande,Bowler,INR 20 Lakhs(R),India,Gujarat Titans,2000000.0
R Sai Kishore,Bowler,INR 3 Crores(R),India,Gujarat Titans,30000000.0
Noor Ahmad,Bowler,INR 30 Lakhs(R),Afghanistan,Gujarat Titans,3000000.0
Mohammed Shami,Bowler,INR 6.25 Crores(R),India,Gujarat Titans,62500000.0
Vijay Shankar,All-rounder,INR 1.40 Crores(R),India,Gujarat Titans,14000000.0
Jayant Yadav,All-rounder,INR 1.70 Crores(R),India,Gujarat Titans,17000000.0
Rahul Tewatia,All-rounder,INR 9 Crores(R),India,Gujarat Titans,90000000.0
Joshua Little,Bowler,INR 4.4 crore(R),Ireland,Gujarat Titans,
Mohit Sharma,Bowler,INR 50 lakh(R),India,Gujarat Titans,
