Player,Role,Nation,Team,Auction Price (in INR)
MS Dhoni,WK-Batsman,India,Chennai Super Kings,12 Cr
Ruturaj Gaikwad,Batsman,India,Chennai Super Kings,6 Cr
Devon Conway,Batsman,New Zealand,Chennai Super Kings,1 crores
Deepak Chahar,Bowler,India,Chennai Super Kings,14 crores
Tushar Deshpande,Bowler,India,Chennai Super Kings,20 Lakhs
Maheesh Theekshana,Bowler,Sri Lanka,Chennai Super Kings,70 Lakhs
Simranjeet Singh,Bowler,India,Chennai Super Kings,20 Lakhs
Matheesha Pathirana,Bowler,Sri Lanka,Chennai Super Kings,20 Lakhs
Prashant Solanki,Bowler,India,Chennai Super Kings,1.20 crores
Mitchell Santner,Bowler,New Zealand,Chennai Super Kings,1.90 crores
Rajvardhan Hangargekar,Bowler,India,Chennai Super Kings,1.50 crores
Ravindra Jadeja,All-rounder,India,Chennai Super Kings,16 Cr
Moeen Ali,All-rounder,England,Chennai Super Kings,8 Cr
Shivam Dube,All-rounder,India,Chennai Super Kings,4 crores
Ajinkya Rahane,Batsman,India,Chennai Super Kings,50 Lakhs
Nishant Sindhu,All-rounder,India,Chennai Super Kings,20 Lakhs
Shaik Rasheed,Batsman,India,Chennai Super Kings,20 Lakhs
Ajay Mandal,Bowler,India,Chennai Super Kings,20 Lakhs
Mukesh Choudhary,Bowler,India,Chennai Super Kings,20 Lakhs
Rachin Ravindra,All-rounder,New Zealand,Chennai Super Kings,1.80 Crores
Shardul Thakur,All-rounder,India,Chennai Super Kings,4 Crores
Daryl Mitchell,All-rounder,New Zealand,Chennai Super Kings,14 Crore
Sameer Rizvi,Batsman,India,Chennai Super Kings,8.40 Crore
Mustafizur Rahman,Bowler,Bangladesh,Chennai Super Kings,2 Crore
Avanish Rao Aravelly,WK-Batsman,India,Chennai Super Kings,20 Lakhs
Rishabh Pant,WT-Batsman,India,Delhi Capitals,TBA
Abhishek Porel,WT-Batsman,India,Delhi Capitals,20 Lakhs
Prithvi Shaw,Batsman,India,Delhi Capitals,7.50Cr
David Warner,Batsman,Australia,Delhi Capitals,6.25 Crores
Yash Dhull,Batsman,India,Delhi Capitals,50 Lakhs
Anrich Nortje,Bowler,South Africa,Delhi Capitals,6.50 Cr
Lungi Ngidi,Bowler,South Africa,Delhi Capitals,50 Lakhs
Khaleel Ahmed,Bowler,India,Delhi Capitals,5.25 crores
Praveen Dubey,Bowler,India,Delhi Capitals,50 Lakhs
Kuldeep Yadav,Bowler,India,Delhi Capitals,2 crores
Axar Patel,All-rounder,India,Delhi Capitals,9 crores
Mitchell Marsh,All-rounder,Australia,Delhi Capitals,6.50 Crores
Lalit Yadav,All-rounder,India,Delhi Capitals,65 Lakhs
Vicky Ostwal,All-rounder,India,Delhi Capitals,20 Lakh
Ishant Sharma,Bowler,India,Delhi Capitals,50 lakh
Mukesh Kumar,Bowler,India,Delhi Capitals,5.5 crores
Harry Brook,Batsman,England,Delhi Capitals,4 Crores
Tristan Stubbs,WT-Batsman,South Africa,Delhi Capitals,50 Lakh
