Player,Type,Status,Teams
Akash Singh,Bowler,Released,CSK
Ambati Rayudu,Batsman,Released,CSK
Ben Stokes,All-Rounder,Released,CSK
Bhagath Varma,Batsman,Released,CSK
Dwaine Pretorius,Bowler,Released,CSK
Kyle Jamieson,Bowler,Released,CSK
Sisanda Magala,Bowler,Released,CSK
Subhranshu Senapati,Batsman,Released,CSK
Aman Khan,All-Rounder,Released,DC
Chetan Sakariya,Bowler,Released,DC
Kamlesh Nagarkoti,Bowler,Released,DC
Manish Pandey,Batsman,Released,DC
Mustafizur Rahman,Bowler,Released,DC
Phil Salt,Wicket-Keeper,Released,DC
Priyam Garg,Batsman,Released,DC
Rilee Rossouw,Batsman,Released,DC
Ripal Patel,All-Rounder,Released,DC
Rovman Powell,Batsman,Released,DC
Sarfaraz Khan,Batsman,Released,DC
Ajay Mandal,Bowler,Retained,CSK
Ajinkya Rahane,Batsman,Retained,CSK
Deepak Chahar,Bowler,Retained,CSK
Devon Conway,Wicket-Keeper,Retained,CSK
Maheesh Theekshana,Bowler,Retained,CSK
Matheesha Pathirana,Bowler,Retained,CSK
Mitchell Santner,All-Rounder,Retained,CSK
Moeen Ali,All-Rounder,Retained,CSK
MS Dhoni,Wicket-Keeper,Retained,CSK
Mukesh Choudhary,Batsman,Retained,CSK
Nishant Sindhu,All-Rounder,Retained,CSK
Prashant Solanki,Bowler,Retained,CSK
Rajvardhan Hangargekar,Bowler,Retained,CSK
Ravindra Jadeja,All-Rounder,Retained,CSK
Ruturaj Gaikwad,Batsman,Retained,CSK
Shaik Rasheed,Batsman,Retained,CSK
Shivam Dube,All-Rounder,Retained,CSK
Simarjeet Singh,Bowler,Retained,CSK
Tushar Deshpande,Bowler,Retained,CSK
Abhishek Porel,Wicket-Keeper,Retained,DC
Anrich Nortje,Bowler,Retained,DC
Axar Patel,All-Rounder,Retained,DC
David Warner,Batsman,Retained,DC
Ishant Sharma,Bowler,Retained,DC
Kuldeep Yadav,Bowler,Retained,DC
Lalit Yadav,All-Rounder,Retained,DC
Lungisani Ngidi,Bowler,Retained,DC
Mitchell Marsh,All-Rounder,Retained,DC
Mukesh Kumar,Bowler,Retained,DC
Pravin Dubey,Batsman,Retained,DC
Prithvi Shaw,Batsman,Retained,DC
Rishabh Pant,Wicket-Keeper,Retained,DC
Syed Khaleel Ahmed,Bowler,Retained,DC
Vicky Ostwal,All-Rounder,Retained,DC
Yash Dhull,Batsman,Retained,DC
Abhinav Sadarangani,Batsman,Retained,GT
