Player,Status,Type,Country,Teams,Base Price,Sold Price
Rovman Powell,Sold,Batsman,WI,RR,"10,000,000","74,000,000"
Harry Brook,Sold,Batsman,Eng,DC,"20,000,000","40,000,000"
Travis Head,Sold,Batsman,Aus,SRH,"20,000,000","68,000,000"
Wanindu Hasaranga,Sold,All-Rounder,SL,SRH,"15,000,000","15,000,000"
Rachin Ravindra,Sold,All-Rounder,NZ,CSK,"5,000,000","18,000,000"
Shardul Thakur,Sold,Bowler,Ind,CSK,"20,000,000","40,000,000"
Azmatullah Omarzai,Sold,All-Rounder,Afg,GT,"5,000,000","5,000,000"
Pat Cummins,Sold,Bowler,Aus,SRH,"20,000,000","205,000,000"
Gerald Coetzee,Sold,Bowler,SA,MI,"20,000,000","50,000,000"
Harshal Patel,Sold,Bowler,Ind,PBKS,"20,000,000","117,500,000"
Daryl Mitchell,Sold,All-Rounder,NZ,CSK,"10,000,000","140,000,000"
Chris Woakes,Sold,Bowler,Eng,PBKS,"20,000,000","42,000,000"
Tristan Stubbs,Sold,Wicket-Keeper,SA,DC,"5,000,000","5,000,000"
KS Bharat,Sold,Wicket-Keeper,Ind,KKR,"5,000,000","5,000,000"
Chetan Sakariya,Sold,Bowler,Ind,KKR,"5,000,000","5,000,000"
Alzarri Joseph,Sold,Bowler,WI,RCB,"10,000,000","115,000,000"
Umesh Yadav,Sold,Bowler,Ind,GT,"20,000,000","58,000,000"
Shivam Mavi,Sold,Bowler,Ind,LSG,"5,000,000","64,000,000"
Mitchell Starc,Sold,Bowler,Aus,KKR,"20,000,000","247,500,000"
Jaydev Unadkat,Sold,Bowler,Ind,SRH,"5,000,000","16,000,000"
Dilshan Madushanka,Sold,Bowler,SL,MI,"5,000,000","46,000,000"
Shubham Dubey,Sold,All-Rounder,Ind,RR,"2,000,000","58,000,000"
Sameer Rizvi,Sold,Batsman,Ind,CSK,"2,000,000","84,000,000"
Angkrish Raghuvanshi,Sold,All-Rounder,Ind,KKR,"2,000,000","2,000,000"
Arshin Kulkarni,Sold,All-Rounder,Ind,LSG,"2,000,000","2,000,000"
Shahrukh Khan,Sold,All-Rounder,Ind,GT,"4,000,000","74,000,000"
Ramandeep Singh,Sold,Batsman,Ind,KKR,"2,000,000","2,000,000"
Tom Kohler-Cadmore,Sold,Wicket-Keeper,Eng,RR,"4,000,000","4,000,000"
Ricky Bhui,Sold,Batsman,Ind,DC,"2,000,000","2,000,000"
Kumar Kushagra,Sold,Wicket-Keeper,Ind,DC,"2,000,000","72,000,000"
Yash Dayal,Sold,Bowler,Ind,RCB,"2,000,000","50,000,000"
Sushant Mishra,Sold,Bowler,Ind,GT,"2,000,000","22,000,000"
Akash Singh,Sold,Bowler,Ind,SRH,"2,000,000","2,000,000"
Kartik Tyagi,Sold,Bowler,Ind,GT,"2,000,000","6,000,000"
Rasikh Dar,Sold,Bowler,Ind,DC,"2,000,000","2,000,000"
Manav Suthar,Sold,Bowler,Ind,GT,"2,000,000","2,000,000"
M Siddharth,Sold,Bowler,Ind,LSG,"2,000,000","24,000,000"
Shreyas Gopal,Sold,Bowler,Ind,MI,"2,000,000","2,000,000"
Sherfane Rutherford,Sold,All-Rounder,WI,KKR,"15,000,000","15,000,000"
Ashton Turner,Sold,All-Rounder,Aus,LSG,"10,000,000","10,000,000"
Tom Curran,Sold,All-Rounder,Eng,RCB,"15,000,000","15,000,000"
David Willey,Sold,All-Rounder,Eng,LSG,"20,000,000","20,000,000"
Spencer Johnson,Sold,Bowler,Aus,GT,"5,000,000","100,000,000"
Mustafizur Rahman,Sold,Bowler,Ban,CSK,"20,000,000","20,000,000"
Jhye Richardson,Sold,Bowler,Aus,DC,"15,000,000","50,000,000"
Nuwan Thushara,Sold,Bowler,SL,MI,"5,000,000","48,000,000"
Naman Dhir,Sold,Batsman,Ind,MI,"2,000,000","2,000,000"
Anshul Kamboj,Sold,Bowler,Ind,MI,"2,000,000","2,000,000"
Sumit Kumar,Sold,Wicket-Keeper,Ind,DC,"2,000,000","10,000,000"
Ashutosh Sharma,Sold,Batsman,Ind,PBKS,"2,000,000","2,000,000"
Vishwanath Pratap Singh,Sold,Batsman,Ind,PBKS,"2,000,000","2,000,000"
Shashank Singh,Sold,Batsman,Ind,PBKS,"2,000,000","2,000,000"
Tanay Thyagarajann,Sold,All-Rounder,Ind,PBKS,"2,000,000","2,000,000"
Robin Minz,Sold,Wicket-Keeper,Ind,GT,"2,000,000","36,000,000"
Prince Choudhary,Sold,Batsman,Ind,PBKS,"2,000,000","2,000,000"
Jhathavedh Subramanyan,Sold,Bowler,Ind,SRH,"2,000,000","2,000,000"
Manish Pandey,Sold,Batsman,Ind,KKR,"5,000,000","5,000,000"
Rilee Rossouw,Sold,Batsman,SA,PBKS,"20,000,000","80,000,000"
Lockie Ferguson,Sold,Bowler,NZ,RCB,"20,000,000","20,000,000"
Mujeeb Ur Rahman,Sold,Bowler,Afg,KKR,"20,000,000","20,000,000"
Mohd. Arshad Khan,Sold,Bowler,Ind,LSG,"2,000,000","2,000,000"
