TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS,Year
Chennai Super Kings,1846087,11,22,2013
Delhi Daredevils,655978,11,26,2013
Kings XI Punjab,6072826,8,23,2013
Kolkata Knight Riders,1508696,11,23,2013
Mumbai Indians,341739,11,28,2013
Pune Warriors India,804130,11,33,2013
Rajasthan Royals,7071304,10,21,2013
Royal Challengers Bangalore,711522,10,31,2013
Sunrisers Hyderabad,5583696,11,26,2013
Chennai Super Kings,2000000,9,25,2014
Delhi Daredevils,0,7,23,2014
Kings XI Punjab,41000000,7,23,2014
Kolkata Knight Riders,10000000,8,21,2014
Mumbai Indians,500000,8,21,2014
Rajasthan Royals,55500000,8,25,2014
Royal Challengers Bangalore,0,7,21,2014
Sunrisers Hyderabad,10000000,7,24,2014
Chennai Super Kings,7000000,9,25,2015
Delhi Daredevils,13500000,9,25,2015
Kings XI Punjab,92000000,7,22,2015
Kolkata Knight Riders,92000000,9,23,2015
Mumbai Indians,49050000,9,26,2015
Rajasthan Royals,106500000,8,25,2015
Royal Challengers Bangalore,20000000,9,26,2015
Sunrisers Hyderabad,93500000,8,23,2015
Delhi Daredevils,61500000,9,27,2016
Gujarat Lions,103500000,7,24,2016
Kings XI Punjab,124500000,7,22,2016
Kolkata Knight Riders,122500000,9,22,2016
Mumbai Indians,13050000,8,26,2016
Rising Pune Supergiant,52000000,7,23,2016
Royal Challengers Bangalore,61750000,9,25,2016
Sunrisers Hyderabad,84000000,7,25,2016
Delhi Daredevils,90500000,9,26,2017
Gujarat Lions,105000000,8,27,2017
Kings XI Punjab,139000000,9,27,2017
Kolkata Knight Riders,54000000,9,23,2017
Mumbai Indians,33550000,9,27,2017
Rising Pune Supergiant,3000000,8,26,2017
Royal Challengers Bangalore,24250000,9,24,2017
Sunrisers Hyderabad,122500000,9,25,2017
Chennai Super Kings,65000000,8,25,2018
Delhi Daredevils,16000000,8,25,2018
Kings XI Punjab,1000000,7,21,2018
Kolkata Knight Riders,0,7,19,2018
Mumbai Indians,6500000,8,25,2018
Rajasthan Royals,16500000,8,23,2018
Royal Challengers Bangalore,1500000,8,24,2018
Sunrisers Hyderabad,6500000,8,25,2018
Rajasthan Royals,,,,2019
Kings XI Punjab,,,,2019
Kings XI Punjab,,,,2019
Delhi Capitals,,,,2019
Kolkata Knight Riders,,,,2019
Delhi Capitals,,,,2019
Chennai Super Kings,,,,2019
Royal Challengers Bangalore,,,,2019
Chennai Super Kings,1500000,8,24,2020
Delhi Capitals,90000000,8,22,2020
Kings XI Punjab,165000000,8,25,2020
Kolkata Knight Riders,85000000,8,23,2020
Mumbai Indians,19500000,8,24,2020
Rajasthan Royals,147500000,8,25,2020
Royal Challengers Bangalore,64000000,8,21,2020
Sunrisers Hyderabad,101000000,8,25,2020
Chennai Super Kings,25500000,8,25,2021
Delhi Capitals,21500000,8,25,2021
Kolkata Knight Riders,32000000,8,25,2021
Mumbai Indians,36500000,8,25,2021
Punjab Kings,188000000,8,25,2021
Rajasthan Royals,136500000,8,24,2021
Royal Challengers Bangalore,3500000,8,22,2021
Sunrisers Hyderabad,69500000,8,25,2021
Chennai Super Kings,29500000,8,25,2022
Delhi Capitals,1000000,7,24,2022
Gujarat Titans,1500000,8,23,2022
Kolkata Knight Riders,4500000,8,25,2022
Lucknow Super Giants,0,7,21,2022
Mumbai Indians,1000000,8,25,2022
Punjab Kings,34500000,7,25,2022
Rajasthan Royals,9500000,8,24,2022
Royal Challengers Bangalore,15500000,8,22,2022
Sunrisers Hyderabad,1000000,8,23,2022
Chennai Super Kings,15000000,8,25,2023
Delhi Capitals,44500000,8,25,2023
Gujarat Titans,44500000,8,25,2023
Kolkata Knight Riders,16500000,8,22,2023
Lucknow Super Giants,35500000,8,25,2023
Mumbai Indians,500000,8,24,2023
Punjab Kings,122000000,7,22,2023
Rajasthan Royals,33500000,8,25,2023
Royal Challengers Bangalore,17500000,8,25,2023
Sunrisers Hyderabad,65500000,8,25,2023
Chennai Super Kings,10000000,8,25,2024
Delhi Capitals,99000000,8,25,2024
Gujarat Titans,78500000,8,25,2024
Kolkata Knight Riders,13500000,8,23,2024
Lucknow Super Giants,9500000,8,25,2024
Mumbai Indians,10500000,8,25,2024
Punjab Kings,41500000,8,25,2024
Rajasthan Royals,2000000,8,22,2024
Royal Challengers Bengaluru,28500000,8,25,2024
Sunrisers Hyderabad,32000000,8,25,2024
