Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
A Ashish Reddy,23.0,280.0,196.0,142.85714285714286,1.4285714285714286,A Ashish Reddy,Right_Hand,India,A Ashish Reddy,20.0,400.0,45.0,19.0,8.88888888888889,14.210526315789474,A Ashish Reddy,Right-arm medium,India
A Chandila,2.0,4.0,7.0,57.14285714285714,0.5714285714285714,A Chandila,Right_Hand,India,A Chandila,12.0,245.0,39.0,11.0,6.282051282051282,21.272727272727277,A Chandila,Right-arm offbreak,India
A Choudhary,3.0,25.0,20.0,125.0,1.25,A Choudhary,Right_hand,,A Choudhary,5.0,144.0,18.0,5.0,8.0,21.6,A Choudhary,Left-arm fast-medium,
A Dananjaya,1.0,4.0,5.0,80.0,0.8,A Dananjaya,Right_Hand,,A Dananjaya,1.0,47.0,4.166666666666667,0.0,11.28,,A Dananjaya,Right-arm offbreak,
A Flintoff,3.0,62.0,57.0,108.7719298245614,1.087719298245614,A Flintoff,Right_Hand,England,A Flintoff,3.0,106.0,11.0,2.0,9.636363636363637,33.0,A Flintoff,Right-arm fast-medium,England
A Kumble,15.0,35.0,49.0,71.42857142857143,0.7142857142857143,A Kumble,Right_Hand,India,A Kumble,42.0,1089.0,163.83333333333334,49.0,6.646998982706002,20.06122448979592,A Kumble,Legbreak googly,India
A Mishra,55.0,381.0,440.0,86.5909090909091,0.865909090909091,A Mishra,Right_Hand,India,A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India
A Mithun,6.0,34.0,26.0,130.76923076923077,1.3076923076923077,A Mithun,Right_Hand,India,A Mithun,16.0,477.0,52.0,8.0,9.173076923076923,39.0,A Mithun,Right-arm medium,India
A Nehra,17.0,41.0,63.0,65.07936507936508,0.6507936507936508,A Nehra,Right_Hand,India,A Nehra,88.0,2537.0,329.0,121.0,7.711246200607903,16.31404958677686,A Nehra,Left-arm medium-fast,India
A Singh,5.0,2.0,10.0,20.0,0.2,A Singh,Right_Hand,India,A Singh,23.0,639.0,81.0,31.0,7.888888888888889,15.67741935483871,A Singh,Right-arm medium-fast,India
A Symonds,36.0,974.0,781.0,124.71190781049935,1.2471190781049937,A Symonds,Right_Hand,Australia,A Symonds,30.0,694.0,90.0,23.0,7.711111111111111,23.47826086956522,A Symonds,Right-arm offbreak,Australia
A Uniyal,2.0,4.0,7.0,57.14285714285714,0.5714285714285714,A Uniyal,Right_Hand,India,A Uniyal,2.0,67.0,6.333333333333333,3.0,10.578947368421051,12.666666666666666,A Uniyal,Left-arm medium,India
A Zampa,5.0,15.0,25.0,60.0,0.6,A Zampa,Right_Hand,Australia,A Zampa,20.0,562.0,70.83333333333333,30.0,7.934117647058824,14.166666666666666,A Zampa,Legbreak googly,Australia
AA Chavan,3.0,12.0,11.0,109.09090909090908,1.0909090909090908,AA Chavan,Right_Hand,India,AA Chavan,13.0,339.0,42.5,8.0,7.976470588235294,31.875,AA Chavan,Slow left-arm orthodox,India
AA Jhunjhunwala,15.0,217.0,218.0,99.54128440366972,0.9954128440366972,AA Jhunjhunwala,Right_Hand,India,AA Jhunjhunwala,10.0,130.0,14.666666666666666,1.0,8.863636363636363,88.0,AA Jhunjhunwala,Right-arm offbreak,India
AA Noffke,1.0,9.0,12.0,75.0,0.75,AA Noffke,Right_Hand,Australia,AA Noffke,1.0,41.0,4.166666666666667,1.0,9.84,25.0,AA Noffke,Right-arm fast-medium,Australia
AB Agarkar,18.0,179.0,160.0,111.875,1.11875,AB Agarkar,Right_Hand,India,AB Agarkar,42.0,1174.0,136.66666666666666,33.0,8.590243902439026,24.848484848484848,AB Agarkar,Right-arm fast,India
AB Dinda,16.0,26.0,50.0,52.0,0.52,AB Dinda,Right_Hand,India,AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.37804878048781,AB Dinda,Right-arm medium-fast,India
AB McDonald,9.0,123.0,103.0,119.41747572815532,1.194174757281553,AB McDonald,Right_Hand,Australia,AB McDonald,10.0,263.0,31.33333333333333,14.0,8.393617021276595,13.428571428571429,AB McDonald,Right-arm fast-medium,Australia
AC Gilchrist,80.0,2069.0,1555.0,133.05466237942122,1.3305466237942123,AC Gilchrist,Left_Hand,Australia,AC Gilchrist,1.0,0.0,0.1666666666666666,1.0,0.0,1.0,AC Gilchrist,Right-arm offbreak,Australia
AC Thomas,4.0,20.0,19.0,105.26315789473684,1.0526315789473684,AC Thomas,Right_Hand,England,AC Thomas,15.0,416.0,54.5,16.0,7.63302752293578,20.4375,AC Thomas,Right-arm fast-medium,England
AC Voges,7.0,181.0,143.0,126.5734265734266,1.2657342657342658,AC Voges,Right_Hand,Australia,AC Voges,7.0,76.0,9.333333333333334,1.0,8.142857142857142,56.0,AC Voges,Slow left-arm orthodox,Australia
AD Mascarenhas,11.0,79.0,79.0,100.0,1.0,AD Mascarenhas,Right_Hand,England,AD Mascarenhas,13.0,365.0,51.66666666666666,19.0,7.064516129032258,16.31578947368421,AD Mascarenhas,Right-arm fast-medium,England
AD Mathews,41.0,724.0,599.0,120.86811352253756,1.2086811352253757,AD Mathews,Right_Hand,Sri Lanka,AD Mathews,44.0,1095.0,134.5,28.0,8.141263940520446,28.821428571428573,AD Mathews,Right-arm fast-medium,Sri Lanka
AD Russell,104.0,2488.0,1515.0,164.22442244224422,1.6422442244224422,AD Russell,Right_Hand,West Indies,AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies
AF Milne,6.0,23.0,31.0,74.19354838709677,0.7419354838709677,AF Milne,Right_Hand,New Zealand,AF Milne,10.0,339.0,36.16666666666666,9.0,9.373271889400922,24.11111111111111,AF Milne,Right-arm fast,New Zealand
AG Murtaza,3.0,10.0,14.0,71.42857142857143,0.7142857142857143,AG Murtaza,Left_Hand,India,AG Murtaza,12.0,322.0,44.833333333333336,12.0,7.182156133828996,22.416666666666668,AG Murtaza,Slow left-arm orthodox,India
AJ Finch,90.0,2092.0,1696.0,123.34905660377358,1.2334905660377358,AJ Finch,Right_Hand,Australia,AJ Finch,5.0,67.0,7.333333333333333,1.0,9.136363636363637,44.0,AJ Finch,Slow left-arm orthodox,Australia
AJ Tye,13.0,91.0,79.0,115.18987341772151,1.1518987341772151,AJ Tye,Right_hand,,AJ Tye,30.0,1005.0,119.0,48.0,8.445378151260504,14.875,AJ Tye,Right-arm fast-medium,
AL Menaria,23.0,401.0,367.0,109.26430517711172,1.0926430517711172,AL Menaria,Left_Hand,India,AL Menaria,12.0,144.0,18.83333333333333,3.0,7.646017699115045,37.66666666666666,AL Menaria,Slow left-arm orthodox,India
AM Nayar,50.0,672.0,588.0,114.28571428571428,1.1428571428571428,AM Nayar,Left_Hand,India,AM Nayar,19.0,323.0,39.833333333333336,9.0,8.10878661087866,26.55555555555556,AM Nayar,Right-arm medium,India
AM Rahane,171.0,4642.0,3858.0,120.32141005702437,1.2032141005702437,AM Rahane,Right_Hand,India,AM Rahane,1.0,5.0,1.0,1.0,5.0,6.0,AM Rahane,Right-arm medium,India
AN Ahmed,6.0,36.0,27.0,133.33333333333331,1.3333333333333333,AN Ahmed,Right_Hand,India,AN Ahmed,17.0,515.0,60.333333333333336,15.0,8.535911602209945,24.133333333333333,AN Ahmed,Right-arm medium-fast,India
AP Dole,2.0,34.0,23.0,147.82608695652172,1.4782608695652173,AP Dole,Right_Hand,India,AP Dole,3.0,114.0,12.166666666666666,5.0,9.36986301369863,14.6,AP Dole,Right-arm medium-fast,India
AR Patel,112.0,1653.0,1318.0,125.41729893778452,1.2541729893778453,AR Patel,Left_Hand,India,AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.06106870229008,AR Patel,Slow left-arm orthodox,India
AS Rajpoot,7.0,26.0,41.0,63.41463414634146,0.6341463414634146,AS Rajpoot,Right_Hand,India,AS Rajpoot,29.0,844.0,94.5,24.0,8.931216931216932,23.625,AS Rajpoot,Right-arm medium,India
AS Raut,16.0,194.0,172.0,112.7906976744186,1.127906976744186,AS Raut,Right_Hand,India,AS Raut,5.0,45.0,5.0,0.0,9.0,,AS Raut,Legbreak googly,India
AUK Pathan,7.0,39.0,26.0,150.0,1.5,AUK Pathan,Right_Hand,India,AUK Pathan,3.0,63.0,6.833333333333333,0.0,9.219512195121952,,AUK Pathan,Right-arm medium,India
Abdur Razzak,1.0,0.0,2.0,0.0,0.0,Abdur Razzak,Left_Hand,Bangladesh,Abdur Razzak,1.0,29.0,2.333333333333333,0.0,12.428571428571429,,Abdur Razzak,Slow left-arm orthodox,Bangladesh
Ankit Sharma,10.0,87.0,69.0,126.08695652173914,1.2608695652173914,Ankit Sharma,Left_Hand,India,Ankit Sharma,21.0,453.0,62.5,12.0,7.248,31.25,Ankit Sharma,Slow left-arm orthodox,India
Ankit Soni,3.0,7.0,9.0,77.77777777777779,0.7777777777777778,Ankit Soni,Right_hand,,Ankit Soni,6.0,145.0,18.666666666666668,4.0,7.767857142857142,28.0,Ankit Soni,Legbreak,
Anureet Singh,8.0,36.0,47.0,76.59574468085107,0.7659574468085106,Anureet Singh,Right_Hand,India,Anureet Singh,22.0,636.0,71.66666666666667,21.0,8.874418604651162,20.476190476190474,Anureet Singh,Right-arm medium,India
Avesh Khan,9.0,41.0,25.0,164.0,1.64,Avesh Khan,Right_Hand,,Avesh Khan,62.0,2010.0,231.66666666666663,81.0,8.676258992805757,17.160493827160494,Avesh Khan,Right-arm fast-medium,
Azhar Mahmood,21.0,388.0,311.0,124.7588424437299,1.247588424437299,Azhar Mahmood,Right_Hand,Pakistan,Azhar Mahmood,23.0,707.0,92.0,31.0,7.684782608695652,17.806451612903224,Azhar Mahmood,Right-arm fast-medium,Pakistan
B Akhil,11.0,76.0,57.0,133.33333333333331,1.3333333333333333,B Akhil,Right_Hand,India,B Akhil,13.0,246.0,32.166666666666664,7.0,7.647668393782384,27.571428571428573,B Akhil,Right-arm medium-fast,India
B Chipli,21.0,280.0,256.0,109.375,1.09375,B Chipli,Right_Hand,India,B Chipli,1.0,20.0,1.0,0.0,20.0,,B Chipli,Right-arm medium,India
B Kumar,65.0,306.0,338.0,90.53254437869822,0.9053254437869822,B Kumar,Right_Hand,India,B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India
B Laughlin,4.0,5.0,13.0,38.46153846153847,0.3846153846153846,B Laughlin,Right_Hand,Australia,B Laughlin,9.0,284.0,29.83333333333333,10.0,9.5195530726257,17.9,B Laughlin,Right-arm fast-medium,Australia
B Lee,19.0,124.0,102.0,121.5686274509804,1.2156862745098038,B Lee,Right_Hand,Australia,B Lee,38.0,1126.0,152.66666666666666,30.0,7.375545851528384,30.53333333333333,B Lee,Right-arm fast,Australia
B Stanlake,1.0,5.0,2.0,250.0,2.5,B Stanlake,Right_Hand,,B Stanlake,6.0,200.0,25.0,7.0,8.0,21.428571428571427,B Stanlake,Right-arm fast,
BA Bhatt,2.0,6.0,7.0,85.71428571428571,0.8571428571428571,BA Bhatt,Left_Hand,India,BA Bhatt,15.0,408.0,50.5,13.0,8.07920792079208,23.307692307692307,BA Bhatt,Slow left-arm orthodox,India
BA Stokes,43.0,935.0,718.0,130.22284122562675,1.3022284122562675,BA Stokes,Left_Hand,,BA Stokes,38.0,1023.0,120.5,31.0,8.489626556016598,23.32258064516129,BA Stokes,Right-arm fast-medium,
BAW Mendis,3.0,3.0,6.0,50.0,0.5,BAW Mendis,Right_Hand,Sri Lanka,BAW Mendis,10.0,306.0,41.333333333333336,9.0,7.403225806451612,27.55555555555556,BAW Mendis,Right-arm offbreak,Sri Lanka
BB Sran,7.0,10.0,14.0,71.42857142857143,0.7142857142857143,BB Sran,Left_Hand,India,BB Sran,24.0,767.0,86.0,20.0,8.918604651162791,25.8,BB Sran,Left-arm medium,India
BCJ Cutting,17.0,238.0,146.0,163.013698630137,1.63013698630137,BCJ Cutting,Right_Hand,Australia,BCJ Cutting,17.0,430.0,48.0,12.0,8.958333333333334,24.0,BCJ Cutting,Right-arm fast-medium,Australia
BE Hendricks,2.0,1.0,3.0,33.33333333333333,0.3333333333333333,BE Hendricks,Left_Hand,South Africa,BE Hendricks,7.0,239.0,26.166666666666668,11.0,9.13375796178344,14.272727272727272,BE Hendricks,Left-arm fast-medium,South Africa
BJ Hodge,63.0,1400.0,1153.0,121.42237640936686,1.2142237640936686,BJ Hodge,Right_Hand,Australia,BJ Hodge,20.0,310.0,39.66666666666666,18.0,7.815126050420169,13.22222222222222,BJ Hodge,Right-arm offbreak,Australia
BJ Rohrer,8.0,193.0,146.0,132.1917808219178,1.321917808219178,BJ Rohrer,Left_Hand,Australia,BJ Rohrer,1.0,12.0,1.1666666666666667,0.0,10.285714285714285,,BJ Rohrer,Right-arm offbreak,Australia
BMAJ Mendis,3.0,23.0,27.0,85.18518518518519,0.8518518518518519,BMAJ Mendis,Left_Hand,Sri Lanka,BMAJ Mendis,2.0,36.0,5.0,1.0,7.2,30.0,BMAJ Mendis,Right-arm offbreak,Sri Lanka
Basil Thampi,7.0,32.0,37.0,86.48648648648648,0.8648648648648649,Basil Thampi,Right_hand,,Basil Thampi,25.0,862.0,89.83333333333333,26.0,9.595547309833025,20.73076923076923,Basil Thampi,Right-arm fast,
Bipul Sharma,17.0,187.0,124.0,150.80645161290323,1.5080645161290325,Bipul Sharma,Left_Hand,India,Bipul Sharma,28.0,581.0,72.66666666666667,22.0,7.995412844036696,19.818181818181817,Bipul Sharma,Slow left-arm orthodox,India
C Munro,11.0,177.0,144.0,122.91666666666669,1.2291666666666667,C Munro,Left_Hand,New Zealand,C Munro,2.0,15.0,2.0,0.0,7.5,,C Munro,Right-arm medium-fast,New Zealand
C Nanda,1.0,0.0,1.0,0.0,0.0,C Nanda,Right_Hand,India,C Nanda,3.0,58.0,8.333333333333334,2.0,6.959999999999999,25.0,C Nanda,Legbreak,India
C de Grandhomme,21.0,303.0,229.0,132.31441048034935,1.3231441048034935,C de Grandhomme,Right_hand,,C de Grandhomme,19.0,323.0,38.333333333333336,7.0,8.426086956521738,32.857142857142854,C de Grandhomme,Legbreak,
CH Gayle,141.0,4997.0,3516.0,142.1217292377702,1.421217292377702,CH Gayle,Left_Hand,West Indies,CH Gayle,38.0,755.0,97.33333333333331,19.0,7.756849315068494,30.73684210526316,CH Gayle,Right-arm offbreak,West Indies
CH Morris,49.0,618.0,413.0,149.636803874092,1.4963680387409202,CH Morris,Right_Hand,South Africa,CH Morris,81.0,2377.0,300.1666666666667,107.0,7.91893392559689,16.83177570093458,CH Morris,Right-arm fast-medium,South Africa
CJ Anderson,29.0,538.0,436.0,123.39449541284404,1.2339449541284404,CJ Anderson,Left_Hand,New Zealand,CJ Anderson,22.0,525.0,52.5,14.0,10.0,22.5,CJ Anderson,Left-arm medium-fast,New Zealand
CJ Jordan,12.0,81.0,81.0,100.0,1.0,CJ Jordan,Right_Hand,England,CJ Jordan,34.0,1111.0,119.5,36.0,9.297071129707112,19.916666666666668,CJ Jordan,Right-arm fast-medium,England
CJ McKay,1.0,8.0,15.0,53.333333333333336,0.5333333333333333,CJ McKay,Right_Hand,Australia,CJ McKay,2.0,60.0,7.0,1.0,8.571428571428571,42.0,CJ McKay,Right-arm fast-medium,Australia
CK Kapugedera,3.0,16.0,24.0,66.66666666666666,0.6666666666666666,CK Kapugedera,Right_Hand,Sri Lanka,CK Kapugedera,3.0,49.0,2.833333333333333,0.0,17.294117647058822,,CK Kapugedera,Right-arm medium,Sri Lanka
CK Langeveldt,2.0,8.0,9.0,88.88888888888889,0.8888888888888888,CK Langeveldt,Right_Hand,England,CK Langeveldt,7.0,199.0,27.5,13.0,7.236363636363636,12.692307692307692,CK Langeveldt,Right-arm fast-medium,England
CL White,45.0,971.0,774.0,125.45219638242897,1.2545219638242897,CL White,Right_Hand,Australia,CL White,6.0,86.0,7.666666666666667,1.0,11.217391304347826,46.0,CL White,Legbreak googly,Australia
CR Brathwaite,14.0,181.0,120.0,150.83333333333334,1.5083333333333333,CR Brathwaite,Right_Hand,West Indies,CR Brathwaite,16.0,384.0,44.333333333333336,16.0,8.661654135338345,16.625,CR Brathwaite,Right-arm fast-medium,West Indies
CR Woakes,12.0,78.0,77.0,101.29870129870127,1.0129870129870129,CR Woakes,Right_hand,,CR Woakes,21.0,674.0,77.16666666666667,31.0,8.734341252699783,14.935483870967742,CR Woakes,Right-arm fast-medium,
CRD Fernando,2.0,4.0,3.0,133.33333333333331,1.3333333333333333,CRD Fernando,Right_Hand,Sri Lanka,CRD Fernando,10.0,306.0,41.5,19.0,7.373493975903615,13.105263157894736,CRD Fernando,Right-arm fast-medium,Sri Lanka
D Kalyankrishna,1.0,3.0,8.0,37.5,0.375,D Kalyankrishna,Right_Hand,India,D Kalyankrishna,3.0,88.0,8.333333333333334,2.0,10.56,25.0,D Kalyankrishna,Right-arm medium-fast,India
D Salunkhe,3.0,33.0,24.0,137.5,1.375,D Salunkhe,Right_Hand,India,D Salunkhe,5.0,80.0,8.5,1.0,9.411764705882351,51.0,D Salunkhe,Legbreak,India
D Wiese,11.0,148.0,105.0,140.95238095238096,1.4095238095238096,D Wiese,Right_Hand,South Africa,D Wiese,15.0,447.0,51.16666666666666,17.0,8.736156351791532,18.058823529411764,D Wiese,Right-arm medium-fast,South Africa
D du Preez,1.0,10.0,13.0,76.92307692307693,0.7692307692307693,D du Preez,Right_Hand,South Africa,D du Preez,2.0,56.0,7.166666666666667,4.0,7.813953488372093,10.75,D du Preez,Right-arm fast-medium,South Africa
DA Warner,184.0,6567.0,4849.0,135.4299855640338,1.3542998556403385,DA Warner,Left_Hand,Australia,DA Warner,1.0,2.0,0.3333333333333333,0.0,6.0,,DA Warner,Legbreak,Australia
DAJ Bracewell,1.0,12.0,9.0,133.33333333333331,1.3333333333333333,DAJ Bracewell,Right_Hand,New Zealand,DAJ Bracewell,1.0,32.0,4.166666666666667,3.0,7.68,8.333333333333334,DAJ Bracewell,Right-arm fast-medium,New Zealand
DB Ravi Teja,25.0,375.0,325.0,115.38461538461536,1.1538461538461535,DB Ravi Teja,Right_Hand,India,DB Ravi Teja,2.0,28.0,3.0,1.0,9.333333333333334,18.0,DB Ravi Teja,Legbreak googly,India
DE Bollinger,4.0,21.0,23.0,91.30434782608695,0.9130434782608696,DE Bollinger,Left_Hand,Australia,DE Bollinger,27.0,716.0,100.0,43.0,7.16,13.953488372093023,DE Bollinger,Left-arm fast-medium,Australia
DJ Bravo,110.0,1560.0,1247.0,125.10024057738572,1.2510024057738574,DJ Bravo,Right_Hand,West Indies,DJ Bravo,158.0,4436.0,549.3333333333334,207.0,8.075242718446601,15.92270531400966,DJ Bravo,Right-arm medium-fast,West Indies
DJ Harris,4.0,111.0,103.0,107.76699029126212,1.077669902912621,DJ Harris,Right_Hand,Australia,DJ Harris,2.0,26.0,3.0,0.0,8.666666666666666,,DJ Harris,Right-arm medium,Australia
DJ Hooda,96.0,1466.0,1170.0,125.2991452991453,1.252991452991453,DJ Hooda,Right_Hand,India,DJ Hooda,33.0,535.0,64.0,10.0,8.359375,38.4,DJ Hooda,Right-arm offbreak,India
DJ Hussey,61.0,1322.0,1101.0,120.07266121707538,1.2007266121707538,DJ Hussey,Right_Hand,Australia,DJ Hussey,26.0,485.0,53.833333333333336,10.0,9.009287925696594,32.3,DJ Hussey,Right-arm offbreak,Australia
DJ Muthuswami,1.0,1.0,3.0,33.33333333333333,0.3333333333333333,DJ Muthuswami,Right_Hand,India,DJ Muthuswami,6.0,108.0,14.0,4.0,7.714285714285714,21.0,DJ Muthuswami,Right-arm medium,India
DJ Thornely,4.0,39.0,54.0,72.22222222222221,0.7222222222222222,DJ Thornely,Right_Hand,Australia,DJ Thornely,4.0,40.0,7.333333333333333,3.0,5.454545454545455,14.666666666666666,DJ Thornely,Right-arm medium,Australia
DJG Sammy,20.0,295.0,251.0,117.52988047808766,1.1752988047808766,DJG Sammy,Right_Hand,West Indies,DJG Sammy,19.0,354.0,40.66666666666666,14.0,8.704918032786885,17.428571428571427,DJG Sammy,Right-arm medium-fast,West Indies
