Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
A Chopra,6.0,53.0,75.0,70.66666666666667,0.7066666666666667,A Chopra,Right_Hand,India,,,,,,,,,,
A Mukund,2.0,19.0,23.0,82.6086956521739,0.8260869565217391,A Mukund,Right_Hand,India,,,,,,,,,,
AA Bilakhia,7.0,69.0,88.0,78.4090909090909,0.7840909090909091,AA Bilakhia,Right_Hand,India,,,,,,,,,,
AB Barath,3.0,42.0,43.0,97.67441860465117,0.9767441860465116,AB Barath,Left_Hand,India,,,,,,,,,,
AB de Villiers,170.0,5181.0,3487.0,148.58044164037855,1.4858044164037856,AB de Villiers,Right_Hand,South Africa,,,,,,,,,,
AC Blizzard,7.0,120.0,91.0,131.86813186813183,1.3186813186813189,AC Blizzard,Left_Hand,Australia,,,,,,,,,,
AD Nath,10.0,90.0,99.0,90.9090909090909,0.9090909090909092,AD Nath,Right_Hand,India,,,,,,,,,,
AG Paunikar,5.0,49.0,61.0,80.32786885245902,0.8032786885245902,AG Paunikar,Right_Hand,India,,,,,,,,,,
AN Ghosh,2.0,7.0,8.0,87.5,0.875,AN Ghosh,Right_Hand,India,,,,,,,,,,
AP Majumdar,4.0,87.0,77.0,112.987012987013,1.12987012987013,AP Majumdar,Right_Hand,India,,,,,,,,,,
AP Tare,27.0,339.0,285.0,118.94736842105264,1.1894736842105262,AP Tare,Right_Hand,India,,,,,,,,,,
AR Bawne,1.0,12.0,12.0,100.0,1.0,AR Bawne,Right_Hand,,,,,,,,,,,
AS Yadav,6.0,49.0,40.0,122.5,1.225,AS Yadav,Right_hand,,,,,,,,,,,
AT Rayudu,185.0,4348.0,3490.0,124.58452722063038,1.2458452722063038,AT Rayudu,Right_Hand,India,,,,,,,,,,
Anirudh Singh,4.0,63.0,69.0,91.30434782608695,0.9130434782608696,Anirudh Singh,Left_Hand,India,,,,,,,,,,
B Sumanth,4.0,35.0,38.0,92.10526315789474,0.9210526315789472,B Sumanth,Right_Hand,India,,,,,,,,,,
BB McCullum,109.0,2882.0,2272.0,126.84859154929578,1.2684859154929575,BB McCullum,Right_Hand,New Zealand,,,,,,,,,,
BB Samantray,8.0,125.0,116.0,107.7586206896552,1.0775862068965518,BB Samantray,Right_Hand,India,,,,,,,,,,
