Player,Role,Nation,Team,Auction Price (in INR),Status_x,Status_y,Teams
MS Dhoni,WK-Batsman,India,Chennai Super Kings,12 Cr,Retained,Retained,CSK
Ruturaj Gaikwad,Batsman,India,Chennai Super Kings,6 Cr,Retained,Retained,CSK
Devon Conway,Batsman,New Zealand,Chennai Super Kings,1 crores,Retained,Retained,CSK
Deepak Chahar,Bowler,India,Chennai Super Kings,14 crores,Retained,Retained,CSK
Tushar Deshpande,Bowler,India,Chennai Super Kings,20 Lakhs,Retained,Retained,CSK
Maheesh Theekshana,Bowler,Sri Lanka,Chennai Super Kings,70 Lakhs,Retained,Retained,CSK
Simranjeet Singh,Bowler,India,Chennai Super Kings,20 Lakhs,,,
Matheesha Pathirana,Bowler,Sri Lanka,Chennai Super Kings,20 Lakhs,Retained,Retained,CSK
Prashant Solanki,Bowler,India,Chennai Super Kings,1.20 crores,Retained,Retained,CSK
Mitchell Santner,Bowler,New Zealand,Chennai Super Kings,1.90 crores,Retained,Retained,CSK
Rajvardhan Hangargekar,Bowler,India,Chennai Super Kings,1.50 crores,Retained,Retained,CSK
Ravindra Jadeja,All-rounder,India,Chennai Super Kings,16 Cr,Retained,Retained,CSK
Moeen Ali,All-rounder,England,Chennai Super Kings,8 Cr,Retained,Retained,CSK
Shivam Dube,All-rounder,India,Chennai Super Kings,4 crores,Retained,Retained,CSK
Ajinkya Rahane,Batsman,India,Chennai Super Kings,50 Lakhs,Retained,Retained,CSK
Nishant Sindhu,All-rounder,India,Chennai Super Kings,20 Lakhs,Retained,Retained,CSK
Shaik Rasheed,Batsman,India,Chennai Super Kings,20 Lakhs,Retained,Retained,CSK
Ajay Mandal,Bowler,India,Chennai Super Kings,20 Lakhs,Retained,Retained,CSK
Mukesh Choudhary,Bowler,India,Chennai Super Kings,20 Lakhs,Retained,Retained,CSK
Rachin Ravindra,All-rounder,New Zealand,Chennai Super Kings,1.80 Crores,,,
Shardul Thakur,All-rounder,India,Chennai Super Kings,4 Crores,Released,Released,KKR
Daryl Mitchell,All-rounder,New Zealand,Chennai Super Kings,14 Crore,,,
Sameer Rizvi,Batsman,India,Chennai Super Kings,8.40 Crore,,,
Mustafizur Rahman,Bowler,Bangladesh,Chennai Super Kings,2 Crore,Released,Released,DC
Avanish Rao Aravelly,WK-Batsman,India,Chennai Super Kings,20 Lakhs,,,
Rishabh Pant,WT-Batsman,India,Delhi Capitals,TBA,Retained,Retained,DC
Abhishek Porel,WT-Batsman,India,Delhi Capitals,20 Lakhs,Retained,Retained,DC
Prithvi Shaw,Batsman,India,Delhi Capitals,7.50Cr,Retained,Retained,DC
David Warner,Batsman,Australia,Delhi Capitals,6.25 Crores,Retained,Retained,DC
Yash Dhull,Batsman,India,Delhi Capitals,50 Lakhs,Retained,Retained,DC
Anrich Nortje,Bowler,South Africa,Delhi Capitals,6.50 Cr,Retained,Retained,DC
Lungi Ngidi,Bowler,South Africa,Delhi Capitals,50 Lakhs,,,
Khaleel Ahmed,Bowler,India,Delhi Capitals,5.25 crores,,,
Praveen Dubey,Bowler,India,Delhi Capitals,50 Lakhs,,,
Kuldeep Yadav,Bowler,India,Delhi Capitals,2 crores,Retained,Retained,DC
Axar Patel,All-rounder,India,Delhi Capitals,9 crores,Retained,Retained,DC
Mitchell Marsh,All-rounder,Australia,Delhi Capitals,6.50 Crores,Retained,Retained,DC
Lalit Yadav,All-rounder,India,Delhi Capitals,65 Lakhs,Retained,Retained,DC
Vicky Ostwal,All-rounder,India,Delhi Capitals,20 Lakh,Retained,Retained,DC
Ishant Sharma,Bowler,India,Delhi Capitals,50 lakh,Retained,Retained,DC
Mukesh Kumar,Bowler,India,Delhi Capitals,5.5 crores,Retained,Retained,DC
Harry Brook,Batsman,England,Delhi Capitals,4 Crores,Released,Released,SRH
Tristan Stubbs,WT-Batsman,South Africa,Delhi Capitals,50 Lakh,Released,Released,MI
Ricky Bhui,WT-Batsman,India,Delhi Capitals,20 Lakh,,,
Kumar Kushagra,WT-Batsman,India,Delhi Capitals,7.20 Crore,,,
Rasikh Dar,Bowler,India,Delhi Capitals,20 Lakh,,,
Jhye Richardson,Bowler,Australia,Delhi Capitals,5 Crore,Released,Released,MI
Sumit Kumar,All-rounder,India,Delhi Capitals,1 Crore,,,
Shai Hope,WT-Batsman,West Indies,Delhi Capitals,75 Lakh,,,
Swastik Chikara,Batsman,India,Delhi Capitals,20 Lakh,,,
Shubman Gill,Batsman,India,Gujarat Titans,8 Crores,Retained,Retained,GT
Sai Sudarshan,Batsman,India,Gujarat Titans,20 Lakhs,,,
Abhinav Manohar,Batsman,India,Gujarat Titans,2.60 Crores,,,
David Miller,Batsman,South Africa,Gujarat Titans,3 crores,Retained,Retained,GT
Kane Williamson,Batsman,New Zealand,Gujarat Titans,2 crores,Retained,Retained,GT
Matthew Wade,WK-Batsman,Australia,Gujarat Titans,2.40 Crores,Retained,Retained,GT
Wriddhiman Saha,WK-Batsman,India,Gujarat Titans,1.90 Crores,Retained,Retained,GT
Rashid Khan,Bowler,Afghanistan,Gujarat Titans,15 Crores,Retained,Retained,GT
Darshan Nalkande,Bowler,India,Gujarat Titans,20 Lakhs,Retained,Retained,GT
R Sai Kishore,Bowler,India,Gujarat Titans,3 Crores,,,
Noor Ahmad,Bowler,Afghanistan,Gujarat Titans,30 Lakhs,Retained,Retained,GT
Mohammed Shami,Bowler,India,Gujarat Titans,6.25 Crores,,,
