Column1,Column2,Column3,Column4,Column5,Column6,Column7
1,M1,JOS BUTTLER,ENGLAND,RR,CAPPED,2.00
1,M1,SHREYAS IYER,INDIA,KKR,CAPPED,2.00
1,M1,RISHABH PANT,INDIA,DC,CAPPED,2.00
1,M1,KAGISO RABADA,SOUTH AFRICA,PBKS,CAPPED,2.00
1,M1,ARSHDEEP SINGH,INDIA,PBKS,CAPPED,2.00
1,M1,MITCHELL STARC,AUSTRALIA,KKR,CAPPED,2.00
2,M2,YUZVENDRA CHAHAL,INDIA,RR,CAPPED,2.00
2,M2,LIAM LIVINGSTONE,ENGLAND,PBKS,CAPPED,2.00
2,M2,DAVID MILLER,SOUTH AFRICA,GT,CAPPED,1.50
2,M2,KL RAHUL,INDIA,LSG,CAPPED,2.00
2,M2,MOHAMMED SHAMI,INDIA,GT,CAPPED,2.00
2,M2,MOHAMMED SIRAJ,INDIA,RCB,CAPPED,2.00
3,BA1,HARRY BROOK,ENGLAND,DC,CAPPED,2.00
3,BA1,DEVON CONWAY,NEW ZEALAND,CSK,CAPPED,2.00
3,BA1,JAKE FRASER-MCGURK,AUSTRALIA,DC,CAPPED,2.00
3,BA1,AIDEN MARKRAM,SOUTH AFRICA,SRH,CAPPED,2.00
3,BA1,DEVDUTT PADIKKAL,INDIA,LSG,CAPPED,2.00
3,BA1,RAHUL TRIPATHI,INDIA,SRH,CAPPED,0.75
3,BA1,DAVID WARNER,AUSTRALIA,DC,CAPPED,2.00
4,AL1,R ASHWIN,INDIA,RR,CAPPED,2.00
4,AL1,VENKATESH IYER,INDIA,KKR,CAPPED,2.00
4,AL1,MITCHELL MARSH,AUSTRALIA,DC,CAPPED,2.00
4,AL1,GLENN MAXWELL,AUSTRALIA,RCB,CAPPED,2.00
4,AL1,HARSHAL PATEL,INDIA,PBKS,CAPPED,2.00
4,AL1,RACHIN RAVINDRA,NEW ZEALAND,CSK,CAPPED,1.50
4,AL1,MARCUS STOINIS,AUSTRALIA,LSG,CAPPED,2.00
5,WK1,JONNY BAIRSTOW,ENGLAND,PBKS,CAPPED,2.00
5,WK1,QUINTON DE KOCK,SOUTH AFRICA,LSG,CAPPED,2.00
5,WK1,RAHMANULLAH GURBAZ,AFGHANISTAN,KKR,CAPPED,2.00
5,WK1,ISHAN KISHAN,INDIA,MI,CAPPED,2.00
5,WK1,PHIL SALT,ENGLAND,KKR,CAPPED,2.00
5,WK1,JITESH SHARMA,INDIA,PBKS,CAPPED,1.00
6,FA1,KHALEEL AHMED,INDIA,DC,CAPPED,2.00
6,FA1,TRENT BOULT,NEW ZEALAND,RR,CAPPED,2.00
6,FA1,JOSH HAZLEWOOD,AUSTRALIA,-,CAPPED,2.00
6,FA1,AVESH KHAN,INDIA,RR,CAPPED,2.00
6,FA1,PRASIDH KRISHNA,INDIA,RR,CAPPED,2.00
6,FA1,T NATARAJAN,INDIA,SRH,CAPPED,2.00
6,FA1,ANRICH NORTJE,SOUTH AFRICA,DC,CAPPED,2.00
7,SP1,NOOR AHMAD,AFGHANISTAN,GT,CAPPED,2.00
7,SP1,RAHUL CHAHAR,INDIA,PBKS,CAPPED,1.00
7,SP1,WANINDU HASARANGA,SRI LANKA,SRH,CAPPED,2.00
7,SP1,WAQAR SALAMKHEIL,AFGHANISTAN,-,CAPPED,0.75
7,SP1,MAHEESH THEEKSHANA,SRI LANKA,CSK,CAPPED,2.00
7,SP1,ADAM ZAMPA,AUSTRALIA,RR,CAPPED,2.00
8,UBA1,YASH DHULL,INDIA,DC,UNCAPPED,0.30
8,UBA1,ABHINAV MANOHAR,INDIA,GT,UNCAPPED,0.30
8,UBA1,KARUN NAIR,INDIA,-,UNCAPPED,0.30
8,UBA1,ANGKRISH RAGHUVANSHI,INDIA,KKR,UNCAPPED,0.30
8,UBA1,ANMOLPREET SINGH,INDIA,SRH,UNCAPPED,0.30
8,UBA1,ATHARVA TAIDE,INDIA,PBKS,UNCAPPED,0.30
