bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Ashish Reddy,20.0,400.0,45.0,19.0,8.88888888888889,14.210526315789474,A Ashish Reddy,Right-arm medium,India,2015
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2015
A Nehra,88.0,2537.0,329.0,121.0,7.711246200607903,16.31404958677686,A Nehra,Left-arm medium-fast,India,2015
AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.378048780487806,AB Dinda,Right-arm medium-fast,India,2015
AD Mathews,44.0,1095.0,134.5,28.0,8.141263940520446,28.821428571428573,AD Mathews,Right-arm fast-medium,Sri Lanka,2015
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2015
AN Ahmed,17.0,515.0,60.333333333333336,15.0,8.535911602209945,24.133333333333333,AN Ahmed,Right-arm medium-fast,India,2015
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2015
Ankit Sharma,21.0,453.0,62.5,12.0,7.248,31.25,Ankit Sharma,Slow left-arm orthodox,India,2015
Anureet Singh,22.0,636.0,71.66666666666667,21.0,8.874418604651162,20.476190476190474,Anureet Singh,Right-arm medium,India,2015
Azhar Mahmood,23.0,707.0,92.0,31.0,7.684782608695652,17.806451612903224,Azhar Mahmood,Right-arm fast-medium,Pakistan,2015
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2015
BB Sran,24.0,767.0,86.0,20.0,8.918604651162791,25.8,BB Sran,Left-arm medium,India,2015
BE Hendricks,7.0,239.0,26.166666666666668,11.0,9.13375796178344,14.272727272727273,BE Hendricks,Left-arm fast-medium,South Africa,2015
Bipul Sharma,28.0,581.0,72.66666666666667,22.0,7.9954128440366965,19.818181818181817,Bipul Sharma,Slow left-arm orthodox,India,2015
CH Gayle,38.0,755.0,97.33333333333333,19.0,7.756849315068494,30.736842105263158,CH Gayle,Right-arm offbreak,West Indies,2015
CH Morris,81.0,2377.0,300.1666666666667,107.0,7.91893392559689,16.83177570093458,CH Morris,Right-arm fast-medium,South Africa,2015
CJ Anderson,22.0,525.0,52.5,14.0,10.0,22.5,CJ Anderson,Left-arm medium-fast,New Zealand,2015
D Wiese,15.0,447.0,51.166666666666664,17.0,8.736156351791532,18.058823529411764,D Wiese,Right-arm medium-fast,South Africa,2015
DJ Bravo,158.0,4436.0,549.3333333333334,207.0,8.075242718446601,15.922705314009661,DJ Bravo,Right-arm medium-fast,West Indies,2015
DJ Hooda,33.0,535.0,64.0,10.0,8.359375,38.4,DJ Hooda,Right-arm offbreak,India,2015
DJ Muthuswami,6.0,108.0,14.0,4.0,7.714285714285714,21.0,DJ Muthuswami,Right-arm medium,India,2015
DJG Sammy,19.0,354.0,40.666666666666664,14.0,8.704918032786885,17.428571428571427,DJG Sammy,Right-arm medium-fast,West Indies,2015
DR Smith,46.0,825.0,92.83333333333333,27.0,8.88689407540395,20.62962962962963,DR Smith,Right-arm medium,West Indies,2015
DS Kulkarni,92.0,2513.0,312.6666666666667,91.0,8.03731343283582,20.615384615384617,DS Kulkarni,Right-arm medium,India,2015
DW Steyn,95.0,2583.0,380.3333333333333,105.0,6.791411042944786,21.733333333333334,DW Steyn,Right-arm fast,South Africa,2015
GB Hogg,21.0,585.0,77.66666666666667,25.0,7.532188841201716,18.64,GB Hogg,Slow left-arm chinaman,Australia,2015
GJ Maxwell,79.0,1311.0,160.83333333333334,41.0,8.151295336787564,23.536585365853657,GJ Maxwell,Right-arm offbreak,Australia,2015
GS Sandhu,2.0,86.0,8.0,1.0,10.75,48.0,GS Sandhu,Right-arm fast-medium,Australia,2015
Gurkeerat Singh,6.0,97.0,13.666666666666666,5.0,7.097560975609756,16.4,Gurkeerat Singh,Right-arm offbreak,India,2015
HH Pandya,93.0,2196.0,247.5,70.0,8.872727272727273,21.214285714285715,HH Pandya,Right-arm medium-fast,India,2015
HV Patel,103.0,3215.0,380.6666666666667,151.0,8.44570928196147,15.125827814569536,HV Patel,Right-arm medium,India,2015
Harbhajan Singh,160.0,4101.0,582.6666666666666,161.0,7.0383295194508015,21.714285714285715,Harbhajan Singh,Right-arm offbreak,India,2015
I Sharma,110.0,3255.0,404.8333333333333,96.0,8.04034582132565,25.302083333333332,I Sharma,Right-arm fast-medium,India,2015
IC Pandey,24.0,609.0,78.16666666666667,19.0,7.791044776119403,24.68421052631579,IC Pandey,Right-arm medium,India,2015
Imran Tahir,59.0,1729.0,223.33333333333334,86.0,7.741791044776119,15.581395348837209,Imran Tahir,Legbreak googly,India,2015
Iqbal Abdulla,48.0,1125.0,157.16666666666666,45.0,7.158006362672323,20.955555555555556,Iqbal Abdulla,Slow left-arm orthodox,India,2015
J Botha,34.0,818.0,118.16666666666667,27.0,6.922425952045134,26.25925925925926,J Botha,Right-arm offbreak,South Africa,2015
