bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Badoni,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A Mishra,7.0,115.0,151.0,7.0,21.571428571428573,7.878260869565217,16.428571428571427
A Nortje,10.0,251.0,370.0,11.0,33.63636363636363,8.844621513944222,22.818181818181817
A Zampa,6.0,133.0,189.0,9.0,21.0,8.526315789473683,14.777777777777779
AD Russell,9.0,99.0,173.0,7.0,24.714285714285715,10.484848484848484,14.142857142857142
AJ Hosein,1.0,24.0,41.0,1.0,41.0,10.25,24.0
AK Markram,6.0,49.0,71.0,1.0,71.0,8.693877551020408,49.0
AR Patel,13.0,288.0,344.0,11.0,31.272727272727273,7.166666666666667,26.181818181818183
AS Joseph,7.0,150.0,226.0,7.0,32.285714285714285,9.04,21.428571428571427
AS Roy,3.0,51.0,65.0,3.0,21.666666666666668,7.647058823529412,17.0
AU Rashid,2.0,42.0,56.0,2.0,28.0,8.0,21.0
Abhishek Sharma,5.0,75.0,127.0,2.0,63.5,10.16,37.5
Akash Deep,2.0,33.0,63.0,1.0,63.0,11.454545454545455,33.0
Akash Madhwal,8.0,160.0,222.0,16.0,13.875,8.325,10.0
Akash Singh,6.0,117.0,188.0,5.0,37.6,9.64102564102564,23.4
Arjun Tendulkar,4.0,68.0,95.0,4.0,23.75,8.382352941176471,17.0
Arshad Khan,6.0,97.0,192.0,5.0,38.4,11.876288659793813,19.4
Arshdeep Singh,14.0,324.0,497.0,18.0,27.61111111111111,9.203703703703704,18.0
Avesh Khan,9.0,176.0,287.0,8.0,35.875,9.78409090909091,22.0
B Kumar,14.0,319.0,432.0,19.0,22.736842105263158,8.12539184952978,16.789473684210527
BA Stokes,1.0,6.0,18.0,0.0,0.0,18.0,0.0
C Green,16.0,239.0,370.0,8.0,46.25,9.288702928870292,29.875
C Sakariya,2.0,55.0,89.0,3.0,29.666666666666668,9.709090909090909,18.333333333333332
CJ Jordan,6.0,140.0,241.0,3.0,80.33333333333333,10.32857142857143,46.666666666666664
CV Varun,14.0,323.0,445.0,20.0,22.25,8.26625386996904,16.15
D Jansen,1.0,28.0,53.0,1.0,53.0,11.357142857142856,28.0
D Pretorius,1.0,28.0,29.0,0.0,0.0,6.2142857142857135,0.0
D Wiese,1.0,18.0,38.0,0.0,0.0,12.666666666666666,0.0
DG Nalkande,1.0,25.0,45.0,1.0,45.0,10.799999999999999,25.0
DJ Hooda,1.0,6.0,8.0,0.0,0.0,8.0,0.0
DJ Willey,4.0,94.0,106.0,4.0,26.5,6.765957446808511,23.5
DL Chahar,10.0,215.0,302.0,13.0,23.23076923076923,8.427906976744186,16.53846153846154
Fazalhaq Farooqi,4.0,86.0,119.0,4.0,29.75,8.30232558139535,21.5
GD Phillips,2.0,18.0,20.0,1.0,20.0,6.666666666666667,18.0
GJ Maxwell,7.0,64.0,95.0,3.0,31.666666666666668,8.90625,21.333333333333332
Gurnoor Brar,1.0,21.0,42.0,0.0,0.0,12.0,0.0
H Sharma,1.0,18.0,33.0,0.0,0.0,11.0,0.0
HH Pandya,11.0,156.0,241.0,4.0,60.25,9.26923076923077,39.0
