bowler,season,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Ashish Reddy,2012,9.0,169.0,238.0,11.0,21.636363636363637,8.449704142011834,15.363636363636363
A Ashish Reddy,2013,5.0,41.0,71.0,3.0,23.666666666666668,10.390243902439025,13.666666666666666
A Ashish Reddy,2015,4.0,37.0,51.0,4.0,12.75,8.27027027027027,9.25
A Ashish Reddy,2016,2.0,23.0,40.0,1.0,40.0,10.434782608695652,23.0
A Badoni,2022,2.0,12.0,12.0,2.0,6.0,6.0,6.0
A Badoni,2023,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A Badoni,2024,2.0,12.0,25.0,0.0,0.0,12.5,0.0
A Chandila,2012,4.0,84.0,87.0,5.0,17.4,6.214285714285714,16.8
A Chandila,2013,8.0,150.0,158.0,6.0,26.333333333333332,6.32,25.0
A Choudhary,2017,5.0,108.0,144.0,5.0,28.8,8.0,21.6
A Dananjaya,2018,1.0,25.0,47.0,0.0,0.0,11.28,0.0
A Flintoff,2009,3.0,66.0,106.0,2.0,53.0,9.636363636363637,33.0
A Kamboj,2024,3.0,68.0,115.0,2.0,57.5,10.147058823529411,34.0
A Kumble,2008,10.0,236.0,314.0,8.0,39.25,7.983050847457626,29.5
A Kumble,2009,16.0,358.0,353.0,22.0,16.045454545454547,5.916201117318436,16.272727272727273
A Kumble,2010,16.0,389.0,422.0,19.0,22.210526315789473,6.508997429305913,20.473684210526315
A Mishra,2008,6.0,123.0,140.0,11.0,12.727272727272727,6.829268292682927,11.181818181818182
A Mishra,2009,11.0,262.0,300.0,14.0,21.428571428571427,6.870229007633588,18.714285714285715
A Mishra,2010,14.0,329.0,371.0,20.0,18.55,6.76595744680851,16.45
A Mishra,2011,14.0,324.0,369.0,19.0,19.42105263157895,6.833333333333333,17.05263157894737
A Mishra,2012,14.0,289.0,381.0,13.0,29.307692307692307,7.9100346020761245,22.23076923076923
A Mishra,2013,17.0,376.0,395.0,24.0,16.458333333333332,6.303191489361702,15.666666666666666
A Mishra,2014,10.0,230.0,342.0,8.0,42.75,8.921739130434782,28.75
A Mishra,2015,12.0,249.0,312.0,9.0,34.666666666666664,7.518072289156627,27.666666666666668
A Mishra,2016,14.0,284.0,350.0,14.0,25.0,7.394366197183098,20.285714285714285
A Mishra,2017,14.0,237.0,345.0,10.0,34.5,8.734177215189874,23.7
A Mishra,2018,10.0,226.0,265.0,13.0,20.384615384615383,7.035398230088496,17.384615384615383
A Mishra,2019,11.0,243.0,271.0,11.0,24.636363636363637,6.691358024691358,22.09090909090909
A Mishra,2020,3.0,61.0,72.0,3.0,24.0,7.081967213114755,20.333333333333332
A Mishra,2021,4.0,84.0,109.0,6.0,18.166666666666668,7.785714285714286,14.0
A Mishra,2023,7.0,115.0,151.0,7.0,21.571428571428573,7.878260869565217,16.428571428571427
A Mishra,2024,1.0,12.0,20.0,1.0,20.0,10.0,12.0
A Mithun,2009,1.0,27.0,42.0,0.0,0.0,9.333333333333334,0.0
A Mithun,2010,1.0,20.0,39.0,1.0,39.0,11.7,20.0
A Mithun,2011,12.0,221.0,325.0,6.0,54.166666666666664,8.823529411764705,36.833333333333336
A Mithun,2012,1.0,19.0,34.0,0.0,0.0,10.736842105263158,0.0
A Mithun,2013,1.0,25.0,37.0,1.0,37.0,8.879999999999999,25.0
A Nehra,2008,14.0,280.0,357.0,14.0,25.5,7.65,20.0
A Nehra,2009,13.0,326.0,354.0,22.0,16.09090909090909,6.515337423312883,14.818181818181818
A Nehra,2010,4.0,85.0,102.0,6.0,17.0,7.2,14.166666666666666
A Nehra,2012,13.0,291.0,411.0,12.0,34.25,8.474226804123711,24.25
A Nehra,2013,10.0,221.0,319.0,13.0,24.53846153846154,8.660633484162895,17.0
A Nehra,2014,4.0,93.0,143.0,8.0,17.875,9.225806451612904,11.625
A Nehra,2015,16.0,385.0,453.0,25.0,18.12,7.059740259740259,15.4
A Nehra,2016,8.0,161.0,200.0,11.0,18.181818181818183,7.453416149068324,14.636363636363637
A Nehra,2017,6.0,132.0,198.0,10.0,19.8,9.0,13.2
A Nel,2008,1.0,18.0,31.0,1.0,31.0,10.333333333333334,18.0
A Nortje,2020,16.0,376.0,529.0,23.0,23.0,8.441489361702128,16.347826086956523
A Nortje,2021,8.0,187.0,198.0,12.0,16.5,6.352941176470588,15.583333333333334
