batter,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
A Ashish Reddy,23.0,280.0,196.0,142.85714285714286,1.4285714285714286,A Ashish Reddy,Right_Hand,India,A Ashish Reddy,20.0,400.0,45.0,19.0,8.88888888888889,14.210526315789474,A Ashish Reddy,Right-arm medium,India
A Badoni,35.0,634.0,505.0,125.54455445544555,1.2554455445544555,NA,NA,NA,A Badoni,5.0,37.0,4.166666666666667,2.0,8.879999999999999,12.5,NA,NA,NA
A Chandila,2.0,4.0,7.0,57.14285714285714,0.5714285714285714,A Chandila,Right_Hand,India,A Chandila,12.0,245.0,39.0,11.0,6.282051282051282,21.272727272727273,A Chandila,Right-arm offbreak,India
A Chopra,6.0,53.0,75.0,70.66666666666667,0.7066666666666667,A Chopra,Right_Hand,India,,,,,,,,,,
A Choudhary,3.0,25.0,20.0,125.0,1.25,A Choudhary,Right_hand,NA,A Choudhary,5.0,144.0,18.0,5.0,8.0,21.6,A Choudhary,Left-arm fast-medium,NA
A Dananjaya,1.0,4.0,5.0,80.0,0.8,A Dananjaya,Right_Hand,NA,A Dananjaya,1.0,47.0,4.166666666666667,0.0,11.28,NA,A Dananjaya,Right-arm offbreak,NA
A Flintoff,3.0,62.0,57.0,108.77192982456141,1.087719298245614,A Flintoff,Right_Hand,England,A Flintoff,3.0,106.0,11.0,2.0,9.636363636363637,33.0,A Flintoff,Right-arm fast-medium,England
A Kamboj,1.0,2.0,2.0,100.0,1.0,NA,NA,NA,A Kamboj,3.0,115.0,11.333333333333334,2.0,10.147058823529411,34.0,NA,NA,NA
A Kumble,15.0,35.0,49.0,71.42857142857143,0.7142857142857143,A Kumble,Right_Hand,India,A Kumble,42.0,1089.0,163.83333333333334,49.0,6.646998982706002,20.06122448979592,A Kumble,Legbreak googly,India
A Manohar,15.0,231.0,181.0,127.62430939226519,1.276243093922652,NA,NA,NA,,,,,,,,,,
A Mishra,55.0,381.0,440.0,86.5909090909091,0.865909090909091,A Mishra,Right_Hand,India,A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India
A Mithun,6.0,34.0,26.0,130.76923076923077,1.3076923076923077,A Mithun,Right_Hand,India,A Mithun,16.0,477.0,52.0,8.0,9.173076923076923,39.0,A Mithun,Right-arm medium,India
A Mukund,2.0,19.0,23.0,82.6086956521739,0.8260869565217391,A Mukund,Right_Hand,India,,,,,,,,,,
